District,Zone,Latitude,Longitude
Mahabubabad,Green,17.6167,80.0167
Mulugu,Green,18.1930,79.9410
Nagarkurnool,Green,16.4833,78.3333
Nizampatnam,Green,15.9000,80.6667
Siddipet,Green,18.1000,78.8500
Wanaparthy,Green,16.3610,78.0627
Warangal Rural,Green,18.1120,79.0190
Yadadri Bhuvanagiri,Green,18.1120,79.0190
Erode,Green,11.3500,77.7333
Khowai,Green,24.0467,91.6232
Sipahijala,Green,23.7451,91.7468
South Tripura,Green,23.5000,91.6667
Unokoti,Green,24.1910,92.0460
West Tripura,Green,23.9167,91.5000
Ambedkar Nagar,Green,27.4500,83.1333
Ballia,Green,25.7611,84.1483
Barabanki,Green,26.9200,81.2000
Chandauli,Green,25.1266,83.2497
Chitrakoot,Green,25.2195,81.1023
Farrukhabad,Green,27.4372,79.4891
Hamirpur,Green,25.7500,80.0000
Kanpur Dehat,Green,26.4600,79.8555
Kushinagar,Green,26.7438,83.9162
Lakhimpur Kheri,Green,27.9851,80.7538
Lalitpur,Green,24.6902,78.4160
Maharajganj,Green,27.1300,83.5700
Mahoba,Green,25.3618,79.7050
Shahjahanpur,Green,27.9126,79.7466
Siddharthnagar,Green,27.2991,83.0928
Sonbhadra,Green,24.3866,83.0786
Bageshwar,Green,29.8500,79.7700
Chamoli,Green,30.4996,79.6188
Champawat,Green,29.3300,80.1000
Haridwar,Green,29.9560,78.1700
Pithoragarh,Green,29.5800,80.2200
Rudraprayag,Green,30.2800,78.9800
Tehri Garhwal,Green,30.5000,78.6667
Alipurduar,Green,26.4890,89.5270
Bankura,Green,23.2500,87.0667
Cooch Behar,Green,26.3242,89.4510
Dakshin Dinajpur,Green,25.3870,88.5047
Jhargram,Green,22.3599,88.5047
Purulia,Green,23.3917,87.9626
Uttar Dinajpur,Green,25.8708,88.9624
